13-10-2021 12:36:00 INFO  AppointmentAtGuichet1Job:44 - [11] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:36:02 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:36:03 INFO  AppointmentAtGuichet1Job:114 - [12] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:39:00 INFO  AppointmentAtGuichet1Job:44 - [12] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:39:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:39:02 INFO  AppointmentAtGuichet1Job:114 - [13] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:42:00 INFO  AppointmentAtGuichet1Job:44 - [13] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:42:02 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:42:09 INFO  AppointmentAtGuichet1Job:114 - [14] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:45:00 INFO  AppointmentAtGuichet1Job:44 - [14] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:45:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:45:02 INFO  AppointmentAtGuichet1Job:114 - [15] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:48:00 INFO  AppointmentAtGuichet1Job:44 - [15] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:48:02 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:48:04 INFO  AppointmentAtGuichet1Job:114 - [16] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:51:00 INFO  AppointmentAtGuichet1Job:44 - [16] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:51:04 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:51:09 INFO  AppointmentAtGuichet1Job:114 - [17] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:54:00 INFO  AppointmentAtGuichet1Job:44 - [17] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:54:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:54:02 INFO  AppointmentAtGuichet1Job:114 - [18] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 12:57:00 INFO  AppointmentAtGuichet1Job:44 - [18] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 12:57:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 12:57:03 INFO  AppointmentAtGuichet1Job:114 - [19] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:00:00 INFO  AppointmentAtGuichet1Job:44 - [19] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:00:02 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:00:03 INFO  AppointmentAtGuichet1Job:114 - [20] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:03:00 INFO  AppointmentAtGuichet1Job:44 - [20] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:03:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:03:02 INFO  AppointmentAtGuichet1Job:114 - [21] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:06:00 INFO  AppointmentAtGuichet1Job:44 - [21] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:06:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:06:02 INFO  AppointmentAtGuichet1Job:114 - [22] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:09:00 INFO  AppointmentAtGuichet1Job:44 - [22] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:09:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:09:02 INFO  AppointmentAtGuichet1Job:114 - [23] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:12:00 INFO  AppointmentAtGuichet1Job:44 - [23] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:12:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:12:03 INFO  AppointmentAtGuichet1Job:114 - [24] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:15:00 INFO  AppointmentAtGuichet1Job:44 - [24] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:15:04 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:15:06 INFO  AppointmentAtGuichet1Job:114 - [25] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:18:00 INFO  AppointmentAtGuichet1Job:44 - [25] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:18:17 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:18:23 INFO  AppointmentAtGuichet1Job:114 - [26] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:21:00 INFO  AppointmentAtGuichet1Job:44 - [26] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:21:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:21:02 INFO  AppointmentAtGuichet1Job:114 - [27] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:24:00 INFO  AppointmentAtGuichet1Job:44 - [27] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:24:02 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:24:03 INFO  AppointmentAtGuichet1Job:114 - [28] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:27:00 INFO  AppointmentAtGuichet1Job:44 - [28] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
13-10-2021 13:27:01 INFO  AppointmentAtGuichet1Job:81 - PALAISEAU - BSP - Module de réservation - vie professionnelle - Les services de l'État dans l'Essonne
13-10-2021 13:27:02 INFO  AppointmentAtGuichet1Job:114 - [29] - PAS DE RENDEZ-VOUS DISPO AU :( 
13-10-2021 13:30:00 INFO  AppointmentAtGuichet1Job:44 - [29] - [Rdv.dailyJob] - CHECKING APPOINTMENT 
